rank,patent_id,affiliate,title,grant_date,assignee,years_remaining,year_multiplier,forward_citations,competitor_citations,competitor_count,competitors,sector,sector_name,sector_source,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,evidence_accessibility_score,trend_alignment_score,ipr_risk_score,prosecution_quality_score,score_aggressive,score_moderate,score_conservative,score_unified
1,10749870,VMware,"Adaptive device enrollment",2020-08-18,"VMware LLC",14.6,0.99,169,100,1,"OneTrust",,"",none,,,,,,,,,,,73.8,73.5,71.7,73.0
2,10333975,VMware,"Enhanced computing system security using a secure browser",2019-06-25,"VMware LLC",13.4,0.94,223,100,1,"OneTrust",,"",none,,,,,,,,,,,70.1,70.9,67.9,69.6
3,10623390,Pivotal Software,"Sidecar-backed services for cloud computing platform",2020-04-14,"PIVOTAL SOFTWARE, INC.",14.2,0.97,36,26,11,"IBM; Rapid7; SAP; Intel; Amazon; PayPal; Red Hat; McAfee; Microsoft; Cisco; Salesforce",,"",none,,,,,,,,,,,73.2,64.0,70.5,69.2
4,10326841,VMware,"Remote data securement on mobile devices",2019-06-18,"VMware LLC",13.4,0.94,110,99,2,"IBM; OneTrust",,"",none,,,,,,,,,,,70.1,66.9,66.0,67.7
5,10944691,VMware,"Container-based network policy configuration in software-defined networking (SDN) environments",2021-03-09,"VMware LLC",15.1,1.00,65,27,5,"IBM; Cisco; Dell EMC; Red Hat; Juniper",,"",none,,,,,,,,,,,67.1,63.2,66.6,65.6
6,9672053,VMware,"Service request processing",2017-06-06,"VMware LLC",11.4,0.86,298,100,2,"OneTrust; Dell EMC",,"",none,,,,,,,,,,,65.5,66.6,62.7,64.9
7,9921864,VMware,"Dynamic host performance tuning of a network stack",2018-03-20,"VMware LLC",12.2,0.89,90,88,3,"Amazon; Oracle; Red Hat",,"",none,,,,,,,,,,,67.1,62.3,61.8,63.7
8,9697033,Nicira (VMware SDN),"Architecture of networks with middleboxes",2017-07-04,"Nicira, Inc.",11.5,0.87,130,83,3,"Cisco; IBM; Intel",,"",none,,,,,,,,,,,65.2,61.7,60.3,62.4
9,11126533,VMware,"Temporal analysis of a computing environment using event data and component relationship data",2021-09-21,"VMware LLC",15.7,1.00,46,36,1,"Fortinet",,"",none,,,,,,,,,,,63.8,60.7,62.0,62.2
10,10139876,VMware,"Efficient reboot of an operating system executed in a virtual machine",2018-11-27,"VMware LLC",12.9,0.92,69,69,1,"Amazon",,"",none,,,,,,,,,,,65.1,61.0,60.2,62.1
11,9948663,Symantec Enterprise,"Systems and methods for predicting security threat attacks",2018-04-17,"Symantec Corporation",9.3,0.78,273,99,5,"PayPal; Microsoft; OneTrust; Intel; Pure Storage",security,"Security / Threat Detection",term,,,,,,4,2,4,5,3.3,62.6,61.4,60.1,61.4
12,9507848,VMware,"Indexing and querying semi-structured data",2016-11-29,"VMware LLC",10.9,0.84,79,65,5,"Splunk; Cisco; PayPal; Red Hat; SAP",,"",none,,,,,,,,,,,65.7,59.1,59.2,61.3
13,9134922,VMware,"System and method for allocating datastores for virtual machines",2015-09-15,"VMware LLC",9.6,0.79,483,99,2,"Pure Storage; HPE",,"",none,,,,,,,,,,,60.5,64.1,58.4,61.0
14,9448790,Pivotal Software,"Rapid updating of cloud applications",2016-09-20,"PIVOTAL SOFTWARE, INC.",10.7,0.83,83,82,5,"Oracle; Red Hat; Amazon; Salesforce; IBM",,"",none,,,,,,,,,,,65.0,58.6,58.6,60.7
15,9860151,Nicira (VMware SDN),"Tracing network packets through logical and physical networks",2018-01-02,"Nicira, Inc.",11.9,0.88,82,50,2,"Cisco; IBM",,"",none,,,,,,,,,,,63.8,59.4,58.4,60.5
16,9424021,VMware,"Capturing updates to applications and operating systems",2016-08-23,"VMware LLC",10.6,0.83,312,100,1,"OneTrust",,"",none,,,,,,,,,,,60.7,62.6,57.9,60.4
17,9977920,CA Technologies,"Providing data privacy in computer networks using personally identifiable information by inference control",2018-05-22,"CA, Inc.",9.3,0.78,127,98,3,"OneTrust; Google; Intel",pii-breach,"PII / Data Breach Detection",term,,,,,,5,2,5,5,4,61.5,59.8,59.2,60.2
18,10097620,VMware,"Methods and apparatus to provision a workload in a virtual server rack deployment",2018-10-09,"VMware LLC",12.7,0.91,51,41,3,"Dell EMC; HPE; Intel",,"",none,,,,,,,,,,,63.1,57.8,58.6,59.9
19,9548965,Nicira (VMware SDN),"Proxy methods for suppressing broadcast traffic in a network",2017-01-17,"Nicira, Inc.",11.0,0.85,109,95,3,"Cisco; NEC; Arista",,"",none,,,,,,,,,,,62.9,58.8,57.5,59.7
20,9998480,Symantec Enterprise,"Systems and methods for predicting security threats",2018-06-12,"Symantec Corporation",9.4,0.78,109,92,5,"KnowBe4; Salesforce; Cisco; Microsoft; McAfee",security,"Security / Threat Detection",term,,,,,,4,2,4,5,4,61.6,58.1,59.2,59.7
21,9888377,Symantec Enterprise,"Using personal computing device analytics as a knowledge based authentication source",2018-02-06,"Symantec Corporation",9.1,0.77,102,99,5,"Bank of America; OneTrust; T-Mobile; Amazon; Oracle",cloud-auth,"Cloud / Authentication",term,,,,,,4,2,4,5,5,61.1,57.5,59.9,59.5
22,9876673,VMware,"Self-learning automated remediation of changes that cause performance degradation of applications",2018-01-23,"VMware LLC",12.0,0.89,68,33,6,"IBM; AMD; Intel; Dell EMC; Cisco; Microsoft",,"",none,,,,,,,,,,,62.4,56.8,58.6,59.3
23,9817695,VMware,"Method and system for migrating processes between virtual machines",2017-11-14,"VMware LLC",11.8,0.88,49,47,3,"Arista; Juniper; Amazon",,"",none,,,,,,,,,,,63.0,56.8,57.1,59.0
24,8935500,VMware,"Distributed storage resource scheduler and load balancer",2015-01-13,"VMware LLC",9.0,0.77,59,52,9,"Dell EMC; Cisco; IBM; HPE; Amazon; NetApp; Pure Storage; SAP; Microsoft",,"",none,,,,,,,,,,,64.7,55.2,56.7,58.9
25,9525696,Blue Coat Systems,"Systems and methods for processing data flows",2016-12-20,"Blue Coat Systems, Inc.",10.9,0.84,70,26,10,"Salesforce; Huawei; Capital One; Cisco; Bank of America; Intel; Amazon; Arista; Fortinet; IBM",,"",none,,,,,,,,,,,61.8,54.5,57.9,58.0
26,10348574,VMware,"Hardware management systems for disaggregated rack architectures in virtual server rack deployments",2019-07-09,"VMware LLC",13.5,0.94,36,33,3,"Intel; Dell EMC; HPE",,"",none,,,,,,,,,,,60.6,55.6,57.5,57.9
27,10382529,Nicira (VMware SDN),"Directed graph based span computation and configuration dispatching",2019-08-13,"Nicira, Inc.",13.6,0.95,77,31,2,"Intel; Fortinet",,"",none,,,,,,,,,,,58.9,57.0,57.4,57.7
28,9800606,Symantec Enterprise,"Systems and methods for evaluating network security",2017-10-24,"Symantec Corporation",8.8,0.76,240,99,3,"OneTrust; Rapid7; CyberArk",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,4,2,3,5,4,58.3,57.8,57.2,57.7
29,9401925,Symantec Enterprise,"Systems and methods for detecting security threats based on user profiles",2016-07-26,"Symantec Corporation",7.5,0.70,109,64,12,"Palantir; Darktrace; Forcepoint; ServiceNow; Fortinet; Splunk; Red Hat; Citrix; NBCUniversal; Oracle; Microsoft; Amazon",cloud-auth,"Cloud / Authentication",term,,,,,,4,2,4,5,4,60.4,54.7,56.3,57.1
30,10031672,VMware,"Snapshots and clones in a block-based data deduplication storage system",2018-07-24,"VMware LLC",12.5,0.90,44,40,2,"Dell EMC; Pure Storage",,"",none,,,,,,,,,,,59.6,54.8,55.1,56.5
31,10389742,VMware,"Security feature extraction for a network",2019-08-20,"VMware LLC",13.6,0.95,94,26,2,"Capital One; Fortinet",,"",none,,,,,,,,,,,55.8,55.4,55.7,55.6
32,8909928,VMware,"Securing customer virtual machines in a multi-tenant cloud",2014-12-09,"VMware LLC",8.9,0.76,138,88,5,"Cisco; IBM; Amazon; Microsoft; HPE",,"",none,,,,,,,,,,,59.0,54.4,53.0,55.5
33,9548924,Nicira (VMware SDN),"Detecting an elephant flow based on the size of a packet",2017-01-17,"Nicira, Inc.",11.0,0.85,54,41,4,"Tencent; Cisco; HPE; Qualcomm",,"",none,,,,,,,,,,,59.1,53.2,53.6,55.3
34,9767197,VMware,"Datacenter operations using search and analytics",2017-09-19,"VMware LLC",11.7,0.87,53,31,5,"Splunk; Salesforce; Dell EMC; Microsoft; HPE",,"",none,,,,,,,,,,,57.8,52.5,54.0,54.7
35,10122752,VMware,"Detecting and preventing crypto-ransomware attacks against data",2018-11-06,"VMware LLC",12.8,0.92,41,31,3,"Microsoft; Pure Storage; Dell EMC",,"",none,,,,,,,,,,,57.2,52.7,54.1,54.6
36,10313211,Avi Networks,"Distributed network service risk monitoring and scoring",2019-06-04,"Avi Networks",13.4,0.94,43,14,8,"Citrix; Disney; SAP; Cisco; Salesforce; Intel; Capital One; NEC",,"",none,,,,,,,,,,,56.2,51.3,56.3,54.6
37,9578088,CA Technologies,"Globally distributed utility computing cloud",2017-02-21,"CA, Inc.",8.1,0.73,49,38,8,"Red Hat; Google; Ericsson; Intel; Splunk; Bank of America; Qualcomm; Capital One",cloud-auth,"Cloud / Authentication",term,,,,,,5,2,4,5,2.8,57.3,52.5,52.9,54.2
