rank,patent_id,affiliate,title,grant_date,assignee,years_remaining,forward_citations,competitor_citations,competitor_count,competitors,super_sector,super_sector_name,sector,sector_name,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,ipr_risk_score,prosecution_quality_score,implementation_type,standards_relevance,score_consensus,score_ip-lit-aggressive,score_ip-lit-balanced,score_ip-lit-conservative,score_licensing,score_corporate-ma,score_executive,rank_ip-lit-aggressive,rank_ip-lit-balanced,rank_ip-lit-conservative,rank_licensing,rank_corporate-ma,rank_executive
1,9507848,VMware,"Indexing and querying semi-structured data",2016-11-29,"VMware LLC",10.9,79,65,5,"Splunk; Cisco; PayPal; Red Hat; SAP",COMPUTING,"Computing & Systems",database,"Database/Information Retrieval",4,4,4,4,4,,,,,,39.45,44.06,45.72,33.08,39.56,34.61,39.65,1,1,6,3,3,1
2,9239841,VMware,"Hash-based snapshots",2016-01-19,"VMware LLC",10.0,58,58,3,"Dropbox; HPE; Red Hat",COMPUTING,"Computing & Systems",database,"Database/Information Retrieval",4,4,4,4,4,,,,,,36.60,41.89,43.51,30.40,36.01,31.89,35.92,2,2,12,14,6,4
3,10122752,VMware,"Detecting and preventing crypto-ransomware attacks against data",2018-11-06,"VMware LLC",12.8,41,31,3,"Microsoft; Pure Storage; Dell EMC",SECURITY,"Security",auth-ids,"Intrusion Detection/Prevention",4,4,4,4,4,,,,,,36.24,40.88,42.58,34.23,34.42,30.64,34.70,5,5,2,21,10,6
4,10348574,VMware,"Hardware management systems for disaggregated rack architectures in virtual server rack deployments",2019-07-09,"VMware LLC",13.5,36,33,3,"Intel; Dell EMC; HPE",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",4,4,4,4,4,,,,,,36.15,40.85,42.64,34.14,34.21,30.47,34.58,6,4,3,22,15,8
5,9817695,VMware,"Method and system for migrating processes between virtual machines",2017-11-14,"VMware LLC",11.8,49,47,3,"Arista; Juniper; Amazon",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,4,4,,,,,,36.06,41.45,43.13,29.82,35.28,31.32,35.37,3,3,16,18,8,5
6,9069607,VMware,"Selective migration of virtualized applications and configuration settings thereof",2015-06-30,"VMware LLC",9.4,42,28,9,"Amazon; T-Mobile; Microsoft; Splunk; SAP",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,4,4,,,,,,35.97,38.33,40.29,34.04,40.69,29.02,33.45,10,10,4,1,22,10
7,9860151,Nicira (VMware SDN),"Tracing network packets through logical and physical networks",2018-01-02,"Nicira, Inc.",11.9,82,50,2,"Cisco; IBM",VIRTUALIZATION,"Virtualization & Cloud",cloud-monitoring,"Cloud Monitoring/Telemetry",4,4,4,4,4,,,,,,35.64,40.90,42.25,29.63,35.13,31.52,34.43,4,6,18,19,7,9
8,9274974,VMware,"Isolating data within a computer system using private shadow mappings",2016-03-01,"VMware LLC",10.1,42,16,12,"Intel; IBM; Apple; Trend Micro; Huawei",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,35.52,37.69,39.53,28.04,36.38,35.48,36.01,15,13,27,11,1,3
9,9747249,Nicira (VMware SDN),"Methods and systems to achieve multi-tenancy in RDMA over converged Ethernet",2017-08-29,"Nicira, Inc.",11.6,125,18,7,"Arista; Cisco; Amazon; Pure Storage; HPE",VIRTUALIZATION,"Virtualization & Cloud",cloud-topology,"Cloud Topology/Discovery",4,3,4,4,4,,,,,,35.43,38.35,40.14,29.82,35.13,32.06,37.07,9,11,17,20,5,2
10,10031672,VMware,"Snapshots and clones in a block-based data deduplication storage system",2018-07-24,"VMware LLC",12.5,44,40,2,"Dell EMC; Pure Storage",VIRTUALIZATION,"Virtualization & Cloud",storage-virtualization,"Storage Virtualization",4,4,4,4,4,,,,,,35.33,40.10,41.90,33.49,33.25,30.02,33.22,7,7,5,27,16,12
11,9977920,CA Technologies,"Providing data privacy in computer networks using personally identifiable information by inference c",2018-05-22,"CA, Inc.",9.3,127,98,3,"OneTrust; Google; Intel",SECURITY,"Security",sec-data,"Security Data Protection",3,4,4,3,4,5,5,4,software,related,34.98,35.05,38.94,35.92,35.54,35.17,29.28,33,19,1,17,2,39
12,9697033,Nicira (VMware SDN),"Architecture of networks with middleboxes",2017-07-04,"Nicira, Inc.",11.5,130,83,3,"Cisco; IBM; Intel",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,34.82,37.62,39.19,28.46,35.96,34.46,33.25,16,16,25,15,4,11
13,9760443,VMware,"Using a recovery snapshot during live migration",2017-09-12,"VMware LLC",11.6,42,38,2,"IBM; Amazon",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-recovery,"FT Recovery/Checkpoint",4,4,4,4,4,,,,,,34.38,40.01,41.83,28.34,33.09,29.89,33.11,8,8,26,29,17,13
14,9548965,Nicira (VMware SDN),"Proxy methods for suppressing broadcast traffic in a network",2017-01-17,"Nicira, Inc.",11.0,109,95,3,"Cisco; NEC; Arista",SECURITY,"Security",auth-firewall,"Firewall/Filtering",3,4,4,4,4,,,,,,34.28,38.19,39.98,28.97,33.39,30.56,34.62,12,12,22,26,14,7
15,10057157,Nicira (VMware SDN),"Automatically advertising NAT routes between logical routers",2018-08-21,"Nicira, Inc.",12.6,40,13,4,"Cisco; Forcepoint; Ericsson; Amazon",VIRTUALIZATION,"Virtualization & Cloud",cloud-topology,"Cloud Topology/Discovery",4,4,4,4,4,,,,,,33.71,38.09,39.05,31.37,32.62,28.56,32.55,13,18,8,31,25,14
16,8717895,Nicira (VMware SDN),"Network virtualization apparatus and method with a table mapping engine",2014-05-06,"Nicira, Inc.",8.3,140,33,5,"Intel; Salesforce; Huawei; Ericsson; IBM",VIRTUALIZATION,"Virtualization & Cloud",cfg-automation,"Config Automation",4,4,4,4,4,,,,,,33.56,37.23,37.92,25.28,40.55,28.35,32.05,18,23,51,2,26,19
17,8826273,VMware,"Synchronously logging to disk for main-memory database systems through record and replay",2014-09-02,"VMware LLC",8.6,43,22,7,"Red Hat; Microsoft; IBM; Dell EMC; NetApp",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,33.26,37.18,39.27,25.14,38.80,27.43,31.73,19,15,56,4,33,22
18,10162655,VMware,"Hypervisor context switching using TLB tags in processors having more than two hierarchical privileg",2018-12-25,"VMware LLC",12.9,31,31,1,"Amazon",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,33.19,38.22,40.61,31.52,30.22,28.30,30.25,11,9,7,50,29,30
19,8560747,VMware,"Associating heartbeat data with access to shared resources of a computer system",2013-10-15,"VMware LLC",7.7,237,95,3,"Pure Storage; Microsoft; HPE",VIRTUALIZATION,"Virtualization & Cloud",vm-ipc,"VM IPC/Communication",4,4,4,4,4,,,,,,32.93,37.90,38.06,26.24,33.77,29.47,32.12,14,22,38,24,20,15
20,8839266,VMware,"Inter-application communication on mobile platforms",2014-09-16,"VMware LLC",8.7,31,18,8,"Palo Alto Networks; Microsoft; Oracle; PayPal; SAP",VIRTUALIZATION,"Virtualization & Cloud",vm-ipc,"VM IPC/Communication",4,4,4,4,4,,,,,,32.87,36.66,39.05,24.92,38.22,27.11,31.25,21,17,58,6,35,24
21,8935500,VMware,"Distributed storage resource scheduler and load balancer",2015-01-13,"VMware LLC",9.0,59,52,9,"Dell EMC; Cisco; IBM; HPE; Amazon",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",3,4,4,4,4,,,,,,32.76,34.32,36.60,31.33,36.16,26.76,31.40,40,34,9,12,39,23
22,10097620,VMware,"Methods and apparatus to provision a workload in a virtual server rack deployment",2018-10-09,"VMware LLC",12.7,51,41,3,"Dell EMC; HPE; Intel",VIRTUALIZATION,"Virtualization & Cloud",vm-deployment,"VM Deployment/Loading",3,4,4,4,4,,,,,,32.62,36.24,38.32,31.03,30.17,27.90,32.06,23,20,10,51,30,18
23,8489699,VMware,"Live migration of virtual machine during direct access to storage over SR IOV adapter",2013-07-16,"VMware LLC",7.5,43,29,7,"Dell EMC; Red Hat; Amazon; IBM; HPE",VIRTUALIZATION,"Virtualization & Cloud",vmh-migration,"VMH Migration",4,4,4,4,4,,,,,,32.13,37.35,39.48,25.31,31.21,27.56,31.90,17,14,50,40,32,21
24,9876673,VMware,"Self-learning automated remediation of changes that cause performance degradation of applications",2018-01-23,"VMware LLC",12.0,68,33,6,"IBM; AMD; Intel; Dell EMC; Cisco",VIRTUALIZATION,"Virtualization & Cloud",cfg-general,"Config General",4,3,4,3,4,,,,,,32.13,33.26,35.96,30.02,30.85,30.79,31.90,51,43,14,44,9,20
25,8966035,Nicira (VMware SDN),"Method and apparatus for implementing and managing distributed virtual switches in several hosts and",2015-02-24,"Nicira, Inc.",9.1,87,8,6,"Dell EMC; HPE; Cisco; Intel; Juniper",SDN_NETWORK,"SDN & Network Infrastructure",sdn-lan,"SDN LAN/Switching",4,4,5,4,4,,,,,,32.09,33.86,34.66,29.07,38.34,27.19,29.40,43,56,21,5,34,35
26,11496392,Nicira (VMware SDN),"Provisioning logical entities in a multidatacenter environment",2022-11-08,"Nicira, Inc.",16.8,23,15,2,"Oracle; Capital One",SDN_NETWORK,"SDN & Network Infrastructure",sdn-routing,"SDN Routing",4,4,4,4,4,,,,,,31.73,36.75,38.26,29.41,29.48,26.64,29.83,20,21,19,60,41,33
