cluster_id,patent_count,cocitation_count,top_company,top_company_patents,patents_in_top250,patent_ids
1,9,81,Apple,42,0,"6072873; 6310918; 6323914; 6351538; 6538656; 6573905; 7020200; 7324595; 7362804"
2,6,30,Amazon,30,3,"7565419; 7991747; 8213602; 8312064; 8340299; 8950005"
3,5,6,Microsoft,6,5,"10262137; 8484737; 9189629; 9679134; 9838405"
4,3,10,Amazon,10,2,"7634811; 8762512; 9106645"
5,3,8,Warner Bros,5,0,"6765931; 6912209; 6985492"
6,3,7,Warner Bros,7,0,"7020892; 7242960; 7496647"
7,3,5,Amazon,5,0,"7308545; 7464378; 8150805"
8,3,4,Amazon,4,3,"8434126; 9106687; 9246941"
9,3,3,Amazon,3,3,"8407471; 8560843; 8954740"
10,3,2,Microsoft,2,3,"10104097; 10178109; 9185119"
11,3,2,Amazon,2,0,"7636801; 7702906; 8046446"
12,3,2,Microsoft,2,1,"7996374; 8201224; 8442960"
13,2,87,Amazon,87,0,"7152118; 8010707"
14,2,22,Google,22,2,"8155478; 9294662"
15,2,20,Microsoft,19,0,"6480955; 6584499"
16,2,13,Sony,13,0,"6614768; 6690726"
17,2,12,Google,12,0,"7664200; 7822140"
18,2,4,Warner Bros,4,0,"7039169; 7283803"
19,2,4,Apple,4,2,"8615270; 9907015"
20,2,3,Microsoft,3,0,"7065657; 7647622"
21,2,3,Google,3,0,"6952401; 7539134"
22,2,3,Apple,3,0,"6570579; 6608630"
23,2,3,Apple,3,0,"6222891; 6775334"
24,2,3,Microsoft,3,1,"7690037; 9083729"
25,2,3,Microsoft,3,0,"7496634; 7516488"
26,2,2,Google,2,1,"7765307; 8713128"
27,2,2,Sony,2,0,"5835636; 5870087"
28,2,2,Microsoft,2,0,"7792994; 8281361"
29,2,2,Apple,2,0,"6571181; 7814342"
30,2,2,Microsoft,2,2,"10573020; 8813214"
31,2,2,Hewlett Packard Enterprise Development LP,1,0,"7729276; 8295312"
32,2,2,Meta,2,2,"8887300; 9716599"
33,2,2,Microsoft,2,1,"8544060; 8677448"
34,2,2,Microsoft,2,0,"6647400; 6826697"
35,2,2,Microsoft,2,0,"6781601; 6853385"
36,2,2,Amazon,2,2,"9264426; 9781602"
37,2,2,Microsoft,2,2,"10063582; 10116680"
