rank,patent_id,title,grant_date,assignee,years_remaining,forward_citations,competitor_citations,competitor_count,competitors,sector,sector_name,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,ipr_risk_score,prosecution_quality_score,implementation_type,standards_relevance,score_consensus,score_ip-lit-aggressive,score_ip-lit-balanced,score_ip-lit-conservative,score_licensing,score_corporate-ma,score_executive,rank_ip-lit-aggressive,rank_ip-lit-balanced,rank_ip-lit-conservative,rank_licensing,rank_corporate-ma,rank_executive
1,9609499,"Apparatus and method to prioritize a random access procedure for emergency access",2017-03-28,"Avago Technologies General IP (Singapore) Pte. Ltd.",8.2,12,10,1,"Comcast",wireless-iot,"Wireless / IoT Geofencing",4,4,3,4,4,4,5,3.3,system,likely_essential,24.26,30.10,32.13,19.64,23.85,19.78,20.04,1,1,1,1,4,1
2,9569605,"Systems and methods for enabling biometric authentication options",2017-02-14,"Symantec Corporation",8.1,78,67,1,"Apple",cloud-auth,"Cloud / Authentication",3,3,4,4,3,5,5,1.8,software,related,21.11,24.32,26.90,17.16,19.96,20.80,17.55,3,2,5,2,2,2
3,9961618,"Apparatus and method for performing low-power geo-fence operations",2018-05-01,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.3,13,8,1,"Apple",wireless-iot,"Wireless / IoT Geofencing",4,4,4,3,4,5,5,1,hybrid,related,20.86,25.01,26.06,18.64,19.79,20.28,15.39,2,3,4,3,3,5
4,10200706,"Pipelined video decoder system",2019-02-05,"Avago Technologies International Sales Pte. Limited",10.1,30,20,1,"ByteDance",video-codec,"Video Codec / Transcoding",3,3,3,2,3,4,5,4,hardware,related,19.78,20.69,25.57,19.25,16.02,22.15,15.00,7,4,2,7,1,7
5,9907015,"Parallel scanning of wireless channels",2018-02-27,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.1,5,5,2,"Microsoft; Apple",bluetooth-edr,"Bluetooth / EDR Scanning",4,3,4,3,3,5,5,5,hardware,related,19.59,21.51,24.44,18.73,18.64,18.06,16.18,6,5,3,5,5,3
6,9667370,"Communication device with peer-to-peer assist to provide synchronization",2017-05-30,"Avago Technologies General IP (Singapore) Pte. Ltd.",8.4,11,3,2,"Amazon; Apple",network-protocols,"Network Protocols",4,4,3,4,4,4,5,,hardware,likely_essential,17.75,22.97,22.56,13.08,18.86,14.00,15.04,4,7,11,4,14,6
7,10206084,"Power-efficient, balanced, and reliable true wireless bluetooth stereo audio solution",2019-02-12,"Avago Technologies International Sales Pte. Limited",10.1,3,2,2,"Amazon; Apple",video-codec,"Video Codec / Transcoding",4,4,4,4,4,5,5,2.3,hybrid,related,16.86,22.94,21.23,12.09,15.23,14.05,15.62,5,9,18,9,12,4
8,9503860,"Intelligent pursuit detection",2016-11-22,"CA, Inc.",7.9,16,8,1,"Amazon",object-pose,"Object / Pose Detection",3,3,3,4,3,4,5,4,software,none,16.81,20.51,23.39,14.82,12.90,14.27,14.97,8,6,6,19,11,8
9,9781602,"Geographically based access management for internet of things device data",2017-10-03,"CA, Inc.",8.7,40,5,3,"Amazon; Google; Microsoft",wireless-iot,"Wireless / IoT Geofencing",3,3,4,3,3,4,5,4,system,related,16.51,17.87,20.01,13.30,17.55,15.87,14.44,15,12,10,6,7,9
10,9294662,"Depth map generation and post-capture focusing",2016-03-22,"Broadcom Corporation",7.2,28,22,1,"Google",image-depth,"Image / Depth Mapping",3,3,3,2,3,4,5,4,software,none,16.09,17.59,21.77,14.72,12.79,17.69,11.99,16,8,7,20,6,16
11,10200359,"Systems and methods for creating credential vaults that use multi-factor authentication to automatic",2019-02-05,"Symantec Corporation",10.1,19,6,1,"Microsoft",cloud-auth,"Cloud / Authentication",3,3,4,4,3,5,5,1,software,related,15.80,19.81,20.80,12.50,11.95,15.72,14.00,9,10,14,27,9,10
12,10153932,"Resource unit (RU) allocation within wireless communications",2018-12-11,"Avago Technologies International Sales Pte. Limited",9.9,3,3,1,"Apple",network-signal-processing,"Network Signal Processing",4,3,4,3,4,5,5,,hardware,likely_essential,15.26,18.55,19.67,12.93,13.88,14.00,12.52,13,15,12,13,13,13
13,10581819,"Network traffic scanning of encrypted data",2020-03-03,"CA, Inc.",11.1,9,3,1,"Microsoft",cloud-auth,"Cloud / Authentication",4,3,4,4,3,5,5,1,system,related,14.95,19.75,19.77,11.21,11.93,13.93,13.13,10,14,22,28,16,11
14,9807094,"Systems and methods for dynamic access control over shared resources",2017-10-31,"Symantec Corporation",8.8,24,9,1,"Google",cloud-auth,"Cloud / Authentication",3,3,4,3,3,5,5,1.8,software,none,14.87,17.32,19.47,11.22,13.69,15.79,11.74,17,16,20,14,8,17
15,9258046,"Efficient beacon transmission and reception",2016-02-09,"Broadcom Corporation",7.1,11,7,1,"Sony",wireless-mimo-antenna,"Wireless MIMO & Antenna",4,3,3,3,3,4,5,,system,likely_essential,14.70,18.31,20.41,12.19,11.84,13.73,11.71,14,11,17,31,18,18
16,9504059,"WLAN and LTE time division based scheduling devices and methods",2016-11-22,"Broadcom Corporation",7.9,9,5,1,"Apple",wireless-scheduling,"Wireless Scheduling",4,3,3,3,4,4,5,,hardware,related,14.62,18.69,19.93,11.39,11.85,13.72,12.16,12,13,19,30,19,15
17,10554992,"Inline codec switching",2020-02-04,"Avago Technologies International Sales Pte. Limited",11.1,2,2,1,"Google",video-codec,"Video Codec",4,4,4,3,4,5,5,,software,related,14.61,19.49,19.03,10.16,12.56,13.28,13.13,11,17,29,23,21,12
18,10165285,"Video coding tree sub-block splitting",2018-12-25,"Avago Technologies International Sales Pte. Limited",9.9,5,3,1,"ByteDance",video-codec,"Video Codec / Transcoding",3,4,4,2,4,5,5,3.3,system,likely_essential,14.15,16.30,17.79,12.20,13.25,14.57,10.79,19,19,16,16,10,23
19,9900196,"Switching diversity in scalable radio frequency communication system",2018-02-20,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.1,16,3,1,"Meta",network-signal-processing,"Network Signal Processing",4,3,3,3,4,4,5,,hardware,likely_essential,13.88,16.70,17.18,12.84,13.55,12.15,10.88,18,21,13,15,26,22
20,10182048,"Systems and methods for automatically populating one-time-password input fields",2019-01-15,"Symantec Corporation",10.0,14,7,2,"Microsoft; Apple",cloud-auth,"Cloud / Authentication",2,3,3,3,2,4,5,4,software,none,13.72,14.86,18.17,13.34,10.65,13.09,12.22,25,18,9,42,23,14
21,9342705,"Systems and methods for searching shared encrypted files on third-party storage systems",2016-05-17,"Symantec Corporation",7.3,31,7,3,"Microsoft; Amazon; Google",cloud-auth,"Cloud / Authentication",3,3,3,2,3,3,5,4,software,none,13.42,14.67,17.34,12.22,11.87,13.19,11.20,27,20,15,29,22,21
22,8737917,"Method and system for a dual-mode bluetooth low energy device",2014-05-27,"Broadcom Corporation",5.4,37,15,3,"Apple; Microsoft; Google",bluetooth-edr,"Bluetooth / EDR Scanning",4,3,4,3,3,4,5,1,firmware,likely_essential,13.39,15.20,16.43,8.99,15.80,13.67,10.27,22,25,38,8,20,27
23,10178109,"Discovery of groupings of security alert types and corresponding complex multipart attacks, from ana",2019-01-08,"Symantec Corporation",10.0,13,3,1,"Microsoft",security,"Security / Threat Detection",3,3,4,3,3,5,5,2.3,software,related,13.18,15.90,17.16,10.24,10.35,13.97,11.46,21,22,27,46,15,20
24,9838405,"Systems and methods for determining types of malware infections on computing devices",2017-12-05,"Symantec Corporation",8.9,26,7,1,"Microsoft",security,"Security / Threat Detection",3,3,3,2,3,4,5,4,software,none,13.06,14.24,16.99,11.01,12.72,13.81,9.61,29,23,23,21,17,35
25,10084762,"Publicly readable blockchain registry of personally identifiable information breaches",2018-09-25,"CA, Inc.",9.7,47,5,1,"Microsoft",pii-breach,"PII / Data Breach Detection",2,3,3,2,4,3,5,5,system,none,12.90,12.96,15.34,13.94,12.57,12.53,10.02,36,29,8,22,25,28
26,8671455,"Systems and methods for detecting unintentional information disclosure",2014-03-11,"Symantec Corporation",5.1,15,9,3,"Amazon; Citrix; Meta",cloud-auth,"Cloud / Authentication",3,3,4,3,3,4,5,3.3,software,none,12.79,13.87,16.13,8.95,14.33,12.81,10.64,31,26,39,11,24,24
27,9160757,"Systems and methods for detecting suspicious attempts to access data based on organizational relatio",2015-10-13,"Symantec Corporation",6.7,11,11,1,"Sophos",cloud-auth,"Cloud / Authentication",3,3,3,3,3,4,5,5,software,none,12.50,13.88,16.77,9.47,13.08,11.94,9.87,30,24,33,18,28,30
28,9408103,"Flexible measurements in unlicensed band",2016-08-02,"Broadcom Corporation",7.5,8,3,2,"Apple; Sony",wireless-infrastructure,"Wireless Infrastructure",4,3,3,3,4,4,,,firmware,likely_essential,12.32,15.93,15.79,8.22,10.94,11.48,11.59,20,28,44,38,32,19
29,9609373,"Presentation timeline synchronization across audio-video (AV) streams",2017-03-28,"Avago Technologies General IP (Singapore) Pte. Ltd.",8.2,21,5,2,"Google; Amazon",event-live,"Event / Live Streaming",3,3,3,4,2,4,5,2.8,software,related,12.25,14.89,16.11,10.27,12.10,9.69,10.47,24,27,26,26,47,25
30,9692778,"Method and system to prioritize vulnerabilities based on contextual correlation",2017-06-27,"Symantec Corporation",8.4,86,8,2,"Comcast; Microsoft",security,"Security / Threat Detection",3,3,3,3,2,4,5,1.8,software,related,12.15,13.86,15.15,10.31,12.43,11.71,9.44,32,30,25,24,30,36
31,10284585,"Tree rotation in random classification forests to improve efficacy",2019-05-07,"Symantec Corporation",10.3,5,2,2,"Amazon; Microsoft",wireless-iot,"Wireless / IoT Geofencing",3,4,3,3,3,4,5,4,software,none,11.94,14.98,15.03,10.03,11.10,10.16,10.35,23,31,30,34,44,26
32,8713128,"Method and system for utilizing native ethernet as a virtual memory interconnect",2014-04-29,"Broadcom Corporation",5.3,4,4,2,"Hewlett Packard Enterprise Development LP; Google",network-protocols,"Network Protocols",4,4,3,4,4,3,,,hardware,related,11.65,14.81,14.62,7.00,14.52,9.00,9.97,26,33,54,10,56,29
33,9548988,"Systems and methods for attributing potentially malicious email campaigns to known threat groups",2017-01-17,"Symantec Corporation",8.0,34,5,1,"Microsoft",security,"Security / Threat Detection",3,3,3,3,3,4,5,2.3,software,related,11.29,13.50,14.51,8.99,11.10,10.79,8.82,33,34,37,35,36,40
34,9977920,"Providing data privacy in computer networks using personally identifiable information by inference c",2018-05-22,"CA, Inc.",9.3,127,1,1,"Google",pii-breach,"PII / Data Breach Detection",3,4,4,3,4,5,5,4,software,related,11.23,12.77,9.95,9.63,14.29,10.93,9.78,37,74,32,12,34,33
35,9621585,"Applying functional classification to tune security policies and posture according to role and likel",2017-04-11,"Symantec Corporation",8.2,7,4,2,"Microsoft; Amazon",network-secure-compute,"Secure Computing & MPC",3,3,4,2,3,4,5,,software,none,11.22,12.47,14.42,8.32,11.52,11.83,8.75,41,35,43,33,29,41
36,9270875,"Dual image capture processing",2016-02-23,"Broadcom Corporation",7.1,184,2,1,"Microsoft",image-depth,"Image / Depth Mapping",4,3,3,4,3,5,5,1.8,hardware,none,11.21,14.46,12.10,8.64,11.00,11.21,9.85,28,50,40,37,33,31
37,9635334,"Audio and video management for parallel transcoding",2017-04-25,"Avago Technologies General IP (Singapore) Pte. Ltd.",8.3,7,7,1,"Meta",video-codec,"Video Codec / Transcoding",4,3,3,2,3,4,5,1,system,related,10.99,13.35,14.68,8.43,10.77,11.49,7.20,34,32,41,40,31,61
38,10248797,"Systems and methods for zero-day DLP protection having enhanced file upload processing",2019-04-02,"Symantec Corporation",10.2,15,2,1,"Microsoft",cloud-auth,"Cloud / Authentication",3,3,4,3,3,4,5,4,software,none,10.99,13.07,13.67,9.05,9.95,10.42,9.76,35,36,36,50,41,34
